Club Name,Total Points
Horouta Waka Hoe Club Inc.,371
Cook Islands Outriggers Associa,176
Ruamata Waka Ama Club,158
Manukau Outrigger Canoe Club,114
Otaki Waka Hoe Charitable Trust,111
Taniwha Outrigger Canoe Club In,106
Parihaka Waka Ama Inc,101
Hei Matau Paddlers,99
Akarana,82
Waitakere Outrigger Canoe Club,81
Nga Hoe Horo Outrigger Canoe Cl,80
Te Au Rere Waka Ama Club,78
Kaihoe o Ngati Rehia Trust,78
Mareikura Waka Ama Club Incorpo,74
Rahui Pokeka Waka Sports,74
Te Toki Voyaging Trust,74
Turangawaewae Waka Sports,60
Tarawera Outrigger Canoe Club,58
Te Puku O Te Ika,48
Porirua Canoe Kayak Club Inc.,44
Haeata Ocean Sports Inc,41
Hawaiki Nui Tuarua Waka Ama,39
Te Awa Haku,39
Tamaki Outrigger Canoe Club,32
Heretaunga Ararau O Ngati Kahun,31
Waikato Dragon Boat & Waka Ama,31
Mitamitaga o le Pasefika Va'a-a,29
TOA Waka Ama Club,25
Tai Tokerau Polynesian Canoe As,24
Auckland Region Outrigger Canoe,24
Tauranga Moana Outrigger Canoe,24
Te Uranga O Te Ra,21
Wairarapa Waka Ama Canoe Club,19
Te Rau Oranga O Ngati Kahungunu,18
Hoe Aroha Whanau o Mauao,15
Whaingaroa Whanau Hoe Waka,13
Waka Ama O Whakatane,13
Uawa Tiaki Tai - Hinekura Waka,11
Tahiti Region,11
Whanganui River Outrigger Canoe,10
Tui Tonga Canoe Club,9
Te Waka o Aoraki,9
Aratika Water Sports Club,9
Ocean Blue Sports Club,9
Whakatu Marae Waka-Ama Club,9
Portage Crossing,8
Hoe Tonga Pacifica Waka Ama Ass,8
Pakuranga Outrigger Canoe Club,6
Maketu Hoe Waka,6
Waitaha Paddling Club Inc,6
Te Pou Herenga Waka Ama Club In,6
Waiheke Waka Ama Club,5
Tirohanga Waka Ama,5
Tu Tangi Ora - South Kaipara Co,4
Norfolk Island,4
Nga Tai Whakarongo,3
Te Puu Ao,2
Te Paerangi Waka Ama Inc,2
Hikoikoi Waka Club,2
Hauraki Sports Club,2
Te Ringa Miti Tai Heke Whanganu,1
